충전소주소,충전기타입,충전기ID,충전기명칭,충전기 상태 코드,충전방식,충전소ID,충전소 명칭,위도,경도,충전기 상태 갱신 시각
경기도 의왕시 오전동 892 지하5층,급속,11142,급속02,충전가능,DC콤보,4797,서해그랑블(B5층),37.35052389634122,126.97363755239068,2024-05-27 16:15:51
서울특별시 성동구 금호동4가 56 주차장,급속,11145,급속01,충전가능,DC콤보,4810,금호스포츠센터,37.545744608586816,127.02519195294377,2024-05-27 16:10:50
"서울특별시 동대문구 왕산로 214 (전농동, 청량리역,롯데백화점) 옥외주차장 5F",급속,11144,급속02,충전가능,DC콤보,4814,청량리역사(한화역사),37.580808811289444,127.04803007800143,2024-05-27 16:15:51
경기도 의왕시 오전동 892 지하5층,급속,11141,급속01,충전가능,DC콤보,4797,서해그랑블(B5층),37.35052389634122,126.97363755239068,2024-05-27 16:15:34
경상남도 김해시 삼계동 30-4 테니스장 주차장 제일 안쪽 주차면,급속,11150,급속02,통신장애,DC콤보,4821,시민체육공원,35.2591030034389,128.877508575257,2024-05-17 21:51:01
서울특별시 서대문구 홍제동 38-69 출입문 인근,급속,9909,급속01,충전가능,DC콤보,3995,서부수도사업소,37.582890260642735,126.95235068502506,2024-05-27 16:15:45
경상북도 고령군 개진면 개포리 240-1 개진면사무소 지상주차장,급속,10002,급속01,충전가능,DC콤보,4016,개진면 행정복지센터 주차장,35.708287,128.350238,2024-05-27 16:16:00
경상북도 고령군 다산면 상곡리 175-1 다산파출소 뒤편 다산면사무소 신규 주,급속,9989,급속01,충전가능,DC콤보,4006,다산면사무소 주차장 부지(신규),35.82252378,128.45053639,2024-05-27 16:11:12
경상북도 고령군 덕곡면 덕운로 570 덕곡면사무소 지상주차장,급속,10006,급속01,충전가능,DC콤보,4019,덕곡면사무소,35.779339,128.233012,2024-05-27 16:16:03
전라북도 전주시 덕진구 팔복동2가 822 도심첨단사업단지 야외주차장,급속,10254,급속01,충전가능,DC콤보,4148,도시첨단산업단지,35.859975,127.084671,2024-05-27 16:16:06
대구광역시 북구 동천동951-1 1층 주차장,급속,9993,급속01,충전가능,DC콤보,4009,동북지방통계청,35.94450175485519,128.5576446176711,2024-05-27 16:15:54
경상북도 김천시 혁신8로 8 주차장,급속,10012,급속01,충전가능,DC콤보,4023,김천경찰서,36.126917706602946,128.18213025285433,2024-05-27 16:15:51
경상북도 김천시 대학로 168 본관 옆 수전실 앞,급속,9987,급속01,충전가능,DC콤보,4004,경북보건대학,36.138200250525834,128.08376766477158,2024-05-27 16:16:06
대구광역시 북구 동천동951-1 1층 주차장,급속,9994,급속02,충전가능,DC콤보,4009,동북지방통계청,35.94450175485519,128.5576446176711,2024-05-27 16:16:12
대구광역시 북구 검단북로11길 11 주차장 안쪽 끝,급속,9995,급속01,충전가능,DC콤보,4010,축산물도매시장,35.915943155337786,128.61051017533333,2024-05-27 16:16:08
서울특별시 서초구 잠원로3길 40 지하2층 주차장,급속,10081,급속01,충전가능,DC콤보,4058,태남빌딩 주차장,37.508200233894485,127.00363905656071,2024-05-27 16:15:47
충청남도 서천군 서면 도둔리 1222-59 주차장 중앙,급속,10274,급속01,충전가능,DC콤보,4163,홍원항,36.15629018,126.50016091,2024-05-27 16:13:00
대전광역시 서구 괴정동 88-1 한민시장 공영주차장 내 1층,급속,10289,급속01,충전가능,DC콤보,4194,한민시장 공영주차장,36.335382821765144,127.38360469341312,2024-05-27 16:13:14
대전광역시 서구 도마동 136-1 도마큰시장 공영주차장 내 1층,급속,10288,급속01,충전가능,DC콤보,4192,도마큰시장 공영주차장,36.31554751253171,127.38442058917255,2024-05-27 16:15:46
대전광역시 서구 괴정동 80-42 괴정동 공영주차장 내,급속,10291,급속02,충전중,DC콤보,4195,괴정동 공영주차장,36.337478014738856,127.38431947792784,2024-05-27 16:15:00
대전광역시 서구 괴정동 80-42 괴정동 공영주차장 내,급속,10290,급속01,충전가능,DC콤보,4195,괴정동 공영주차장,36.337478014738856,127.38431947792784,2024-05-27 16:12:24
충청남도 금산군 금산읍 중도리 214-3 동남아파트 주차장 안쪽,급속,10293,급속01,충전중,DC콤보,4161,금산군 치매안심센터,36.109716597857265,127.49331692668643,2024-05-27 16:15:00
경상남도 합천군 합천읍 합천리 117-2 주차장 내 위치,급속,10444,급속01,충전가능,DC콤보,4191,한국농어촌공사,35.5656689151636,128.170270615491,2024-05-27 16:16:18
경상남도 산청군 산청읍 지리 321-6 지상주차장 입구 오른쪽편,급속,10440,급속01,충전가능,DC콤보,4229,산청읍사무소,35.413428604501,127.87757545726,2024-05-27 16:16:17
경상남도 산청군 산청읍 지리 737 지상주차장 입구 오른쪽편,급속,10439,급속01,충전가능,DC콤보,4228,국민건강보험공단진주산청지사 산청출장소,35.4190318858073,127.880363806483,2024-05-27 16:15:52
"전라북도 완주군 용진읍 지암로 65 (운곡리, 완주교육지원청) 야외주차장",급속,10379,급속01,충전가능,DC콤보,4262,완주교육지원청,35.90431707459976,127.16380400726338,2024-05-27 16:15:53
경상남도 함안군 가야읍 말산리 213 주차면,급속,10446,급속01,충전가능,DC콤보,4187,함안군청,35.2724766313303,128.40673067643,2024-05-27 16:16:14
경상남도 함안군 칠북면 검단리 1289-2 주차면,급속,10447,급속01,충전가능,DC콤보,4188,칠북면사무소,35.3466315362804,128.521679006887,2024-05-27 16:16:20
경상남도 남해군 삼동면 봉화리 2136-5 나비생태공원 주차장,급속,10448,급속01,충전가능,DC콤보,4216,나비생태공원,34.7575664004564,128.012394516446,2024-05-27 16:15:55
경상남도 남해군 이동면 다정리 906 보물섬마늘나라 주차장,급속,10450,급속01,충전가능,DC콤보,4217,보물섬마늘나라,34.8169330619967,127.924280601955,2024-05-27 16:15:59
경상남도 진주시 충무공동 15-3 지상주차장,급속,10462,급속01,충전가능,DC콤보,4212,한국세라믹기술원 세라믹섬유융복합센터,35.178241196273454,128.1351214719812,2024-05-27 16:16:14
경상남도 남해군 이동면 다정리 985 농업기술센터 주차장,급속,10449,급속01,충전가능,DC콤보,4215,농업기술센터,34.8162329149502,127.922636862858,2024-05-27 16:15:51
경상남도 함양군 안의면 상원리 758-2 주차장,급속,10467,급속01,충전가능,DC콤보,4298,함양용추오토캠핑장,35.6747313535502,127.773596172989,2024-05-27 16:16:14
경상남도 진주시 내동면 삼계리 663 지상주차장,급속,10468,급속02,충전가능,DC콤보,4210,무지개동산,35.16003010203107,128.03187287511454,2024-05-27 16:11:18
경상남도 진주시 내동면 독산리 65-7 지상주차장,급속,10464,급속01,고장/점검,DC콤보,4209,내동면사무소,35.16056989411632,128.06812248087908,2024-05-27 16:13:03
경상남도 진주시 내동면 삼계리 663 지상주차장,급속,10466,급속01,충전가능,DC콤보,4210,무지개동산,35.16003010203107,128.03187287511454,2024-05-27 16:11:23
경상남도 진주시 초전동 1583-14 지상주차장,급속,10453,급속01,충전가능,DC콤보,4213,초전공원,35.20553807107245,128.1265543754934,2024-05-27 16:17:21
경상남도 진주시 문산읍 두산리 777 본관 동편주자장,급속,10452,급속02,충전가능,DC콤보,4208,농업기술센터,35.1483282952653,128.14695496708254,2024-05-27 16:15:42
경상남도 진주시 문산읍 두산리 777 본관 동편주자장,급속,10451,급속01,충전가능,DC콤보,4208,농업기술센터,35.1483282952653,128.14695496708254,2024-05-27 16:15:57
경상남도 진주시 초전동 1583-14 지상주차장,급속,10455,급속02,충전가능,DC콤보,4213,초전공원,35.20553807107245,128.1265543754934,2024-05-27 16:16:17
경상남도 함양군 병곡면 광평리 663 대봉산 휴양밸리 앞 주차장,급속,10458,급속01,충전가능,DC콤보,4294,대봉산휴양밸리 주차장,35.5679833421471,127.715313403081,2024-05-27 16:16:22
경상남도 함양군 병곡면 광평리 663 대봉산 휴양밸리 앞 주차장,급속,10459,급속02,충전가능,DC콤보,4294,대봉산휴양밸리 주차장,35.5679833421471,127.715313403081,2024-05-27 16:16:24
경상남도 진주시 충무공동 15-4 지상주차장,급속,10456,급속01,충전가능,DC콤보,4211,한국세라믹기술원,35.17749239424117,128.13519887997978,2024-05-27 16:16:28
충청남도 청양군 화성면 산정리 130-5 면사무소 출입 입구,급속,10520,급속01,충전가능,DC콤보,4359,한국전력 전기차충전소 화성면사무소,36.427439131253706,126.71712487759244,2024-05-27 16:15:57
경상북도 경산시 남산면 반곡리 240 반곡지 주차장 화장실 옆,급속,10007,급속01,충전가능,DC콤보,4020,반곡지 전기충전소,35.7797180651825,128.805259488614,2024-05-27 16:16:02
경상북도 경산시 남산면 반곡리 240 반곡지 주차장 화장실 옆,급속,10008,급속02,충전가능,DC콤보,4020,반곡지 전기충전소,35.7797180651825,128.805259488614,2024-05-27 16:16:05
강원도 춘천시 소양로2가 172-1 시장 앞 주차장,급속,10438,급속01,충전가능,DC콤보,4289,춘천서부시장,37.884660755752435,127.72438262320271,2024-05-27 16:15:50
경기도 남양주시 다산동 6033 다산체육공원 주차장,급속,10281,급속01,충전가능,DC콤보,4107,다산체육공원,37.627614,127.159622,2024-05-27 16:16:37
경기도 고양시 일산서구 대화동 2320 정문입구 지상주차장,급속,10620,급속01,충전가능,DC콤보,4441,고양종합운동장,37.67517338204621,126.74365691152663,2024-05-27 16:16:03
경기도 김포시 통진읍 서암리 151-4 주차장,급속,10647,급속01,충전가능,DC콤보,4466,서암체육공원,37.70484641984,126.597196539237,2024-05-27 16:15:43
경기도 김포시 운양동 1258-1 나래울공원 주차장,급속,10642,급속02,충전가능,DC콤보,4462,나래울공원,37.6540005709877,126.693040735402,2024-05-27 16:15:33
경기도 김포시 운양동 1258-1 나래울공원 주차장,급속,10641,급속01,충전가능,DC콤보,4462,나래울공원,37.6540005709877,126.693040735402,2024-05-27 16:13:22
경기도 김포시 사우동 925 지하 2층,급속,10643,급속01,충전가능,DC콤보,4463,김포문화재단,37.61889373386298,126.72015109585493,2024-05-27 16:15:47
경기도 김포시 사우동 925 지하 2층,급속,10646,급속02,충전가능,DC콤보,4463,김포문화재단,37.61889373386298,126.72015109585493,2024-05-27 16:11:04
경기도 김포시 통진읍 서암리 151-4 주차장,급속,10648,급속02,충전가능,DC콤보,4466,서암체육공원,37.70484641984,126.597196539237,2024-05-27 16:16:02
광주광역시 남구 진월동 540 (실내지하)주차장 1층,급속,10624,급속01,충전가능,DC콤보,4444,진월 국제테니스장,35.1113081230287,126.899226555426,2024-05-27 16:16:02
광주광역시 남구 진월동 540 (실내지하)주차장 1층,급속,10625,급속02,충전가능,DC콤보,4444,진월 국제테니스장,35.1113081230287,126.899226555426,2024-05-27 16:15:51
광주광역시 서구 금호동 781-5 (실외완전노출)지상 주차장,급속,10626,급속01,충전가능,DC콤보,4445,광주시청자미디어센터,35.1239405337976,126.862418829789,2024-05-27 16:17:46
경상남도 창녕군 이방면 안리 739 산토끼노래동산 주차장,급속,10689,급속01,충전가능,DC콤보,4305,산토끼노래동산,35.57636966543657,128.38608778363704,2024-05-27 16:16:28
경상북도 예천군 예천읍 대심리 353 예천군청 오른편 주차장,급속,10710,급속01,충전중,DC콤보,4510,예천군청,36.64763750071028,128.43925617180213,2024-05-27 16:15:53
경상남도 고성군 고성읍 우산리 206-2 농업기술센터 주차장,급속,10712,급속02,충전가능,DC콤보,4317,농업기술센터 주차장,34.9969915463471,128.326422974315,2024-05-27 16:16:19
경상북도 청송군 청송읍 월막리 330 군청 입구 주차장,급속,10661,급속01,충전가능,DC콤보,4471,청송군청 주차장,36.43541886144324,129.05736971992198,2024-05-27 16:16:22
경상북도 청송군 파천면 중평리 594-1 휴게소 출구,급속,10660,급속01,충전가능,DC콤보,4470,(고속도로)청송휴게소 청주방면,36.4568481303743,129.011834424164,2024-05-27 16:11:23
경상남도 창원시 마산합포구 동성동 158 공영주차장 2층 우측 끝.,급속,10325,급속01,충전가능,DC콤보,4178,창동공영주차장,35.205710,128.576513,2024-05-27 16:15:58
경상남도 창원시 마산합포구 진동면 진동리 872 진동복지타운 주차장입구,급속,10693,급속01,통신장애,DC콤보,4494,진동복지타운,35.1158389005186,128.48352507653,2023-08-28 18:23:29
경상남도 창원시 마산합포구 덕동동 692 덕동시립테니스장 주차장 입구 오른쪽,급속,10697,급속01,충전가능,DC콤보,4498,덕동시립테니스장,35.1333608726943,128.567485591454,2024-05-27 16:11:27
서울특별시 서초구 잠원동 10-33 지상주차장,급속,10082,급속01,통신장애,DC콤보,4059,잠원동방음언덕형 공영주차장,37.51600,127.01621,2024-05-23 14:15:59
경상북도 영주시 하망동 299-8 공용주차장 내 장애인 주차구역 오른쪽,급속,10738,급속01,충전가능,DC콤보,4518,하망동 행정복지센터 공용주차장,36.82384624346237,128.6303304937224,2024-05-27 16:16:23
전라남도 여수시 웅천동 1692 (실외캐노피기설) 주차장 입구 직좌,급속,10741,급속02,고장/점검,DC콤보,3437,웅천친수공원 주차장,34.7471658478015,127.66828388205,2024-05-27 16:16:12
충청남도 예산군 신양면 신양리 362-2 주차장,급속,10749,급속01,충전가능,DC콤보,4536,신양면사무소 충전소,36.6013152204768,126.867740741051,2024-05-27 16:16:12
충청남도 예산군 예산읍 수철리 445-1 주차장,급속,10747,급속01,충전가능,DC콤보,4534,수철리 공영 충전소,36.7091312243598,126.874053714046,2024-05-27 16:16:13
충청남도 예산군 예산읍 산성리 358-2 주차장,급속,10748,급속01,충전가능,DC콤보,4535,산성리 역전시장 충전소,36.6878787316545,126.829068035657,2024-05-27 16:16:27
충청남도 예산군 신양면 신양리 362-2 주차장,급속,10750,급속02,충전가능,DC콤보,4536,신양면사무소 충전소,36.6013152204768,126.867740741051,2024-05-27 16:16:12
충청남도 금산군 금산읍 중도리 203-28 금산역사문화박물관 주차장,급속,10763,급속02,충전가능,DC콤보,4552,금산다락원(금산역사문화박물관),36.11385827122419,127.49206832356225,2024-05-27 16:16:16
충청남도 금산군 금산읍 중도리 203-28 금산역사문화박물관 주차장,급속,10762,급속01,고장/점검,DC콤보,4552,금산다락원(금산역사문화박물관),36.11385827122419,127.49206832356225,2024-05-27 16:16:18
대구광역시 달서구 본리동 110-5 지상주차장,급속,10585,급속01,충전가능,DC콤보,4416,달서시장 공영주차장,35.84086,128.54375,2024-05-27 16:15:59
대구광역시 달서구 본리동 110-5 지상주차장,급속,10586,급속02,충전가능,DC콤보,4416,달서시장 공영주차장,35.84086,128.54375,2024-05-27 16:15:55
"인천광역시 남동구 남촌동 177-1 지하1층 주차장(D21, D22)",급속,10115,급속01,충전가능,DC콤보,4079,남촌농산물도매시장 전기차충전소,37.4242110008369,126.718875365039,2024-05-27 16:15:59
"인천광역시 남동구 남촌동 177-1 지하1층 주차장(D21, D22)",급속,10117,급속03,충전가능,DC콤보,4079,남촌농산물도매시장 전기차충전소,37.4242110008369,126.718875365039,2024-05-27 16:15:54
경기도 광명시 소하동 1331 지상 주차장,급속,10850,급속01,충전가능,DC콤보,4602,소하도서관,37.44560,126.88802,2024-05-27 16:15:45
경기도 광명시 하안동 683 지상주차장,급속,10851,급속01,충전가능,DC콤보,4603,하안도서관,37.46799,126.87369,2024-05-27 16:11:01
강원도 인제군 인제읍 남북리 294-1 인제지사 고객용 주차장,급속,10849,급속01,충전가능,DC콤보,4506,인제지사(공용),38.0659822317274,128.166215568998,2024-05-27 16:10:54
서울특별시 관악구 봉천동 225 주차장,급속,10874,급속01,충전가능,DC콤보,4524,관악구 종합체육센타,37.4729220782096,126.96009343126,2024-05-27 16:15:56
서울특별시 서초구 양재동 370-5 지하2층주차장,급속,10875,급속01,충전가능,DC콤보,4617,동산마을 공영주차장,37.4700908862054,127.044308939732,2024-05-27 16:11:00
경기도 동두천시 생연동 70 주차장,급속,10878,급속02,충전가능,DC콤보,4623,동두천시종합운동장,37.90026583962517,127.0697886335251,2024-05-27 16:16:06
충청북도 청주시 상당구 용암동 2098 청주시립도서관 주차장,급속,10645,급속02,고장/점검,DC콤보,4456,청주시립도서관,36.6123693832044,127.505884557486,2024-05-23 13:47:14
세종특별자치시 조치원읍 원리 12-11 옥상,급속,10825,급속01,충전가능,DC콤보,4576,조치원주차타워,36.600401281460606,127.29793100147178,2024-05-27 16:15:01
세종특별자치시 조치원읍 원리 12-11 옥상,급속,10826,급속02,충전가능,DC콤보,4576,조치원주차타워,36.600401281460606,127.29793100147178,2024-05-27 16:15:43
전라북도 전주시 덕진구 송천동1가 241-2 주차장,급속,10925,급속01,충전가능,DC콤보,4663,전통문화체험전수관,35.853479,127.125972,2024-05-27 16:16:10
"전라북도 전주시 덕진구 유상로 69 (팔복동2가, 한국산업인력공단 전북지사) 옥외주차장",급속,10926,급속01,충전가능,DC콤보,4664,한국산업인력공단,35.863213,127.080268,2024-05-27 16:15:58
"전라북도 전주시 덕진구 유상로 69 (팔복동2가, 한국산업인력공단 전북지사) 옥외주차장",급속,10928,급속02,충전가능,DC콤보,4664,한국산업인력공단,35.863213,127.080268,2024-05-27 16:17:07
경기도 화성시 능동 1130 주차장 입구 우측편,급속,10969,급속01,충전가능,DC콤보,4691,나래울종합사회복지관,37.204,127.05,2024-05-27 16:16:07
경기도 화성시 팔탄면 고주리 196-1 폴리텍대학 화성캠퍼스,급속,11008,급속01,충전가능,DC콤보,4708,폴리텍대학 화성캠퍼스,37.1308526357084,126.889293729235,2024-05-27 16:15:43
경기도 여주시 산북면 상품리 121 산북면 행정복지센터,급속,11014,급속01,충전가능,DC콤보,4713,산북면 행정복지센터,37.4017503119227,127.443151083753,2024-05-27 16:15:59
경기도 여주시 강천면 간매리 271-1 강천면 주민자치센터,급속,11015,급속01,충전중,DC콤보,4715,강천면 주민자치센터,37.2722645587039,127.712448921001,2024-05-27 16:15:00
경기도 여주시 흥천면 효지리 376-6 흥천면 행정복지센터,급속,11016,급속01,충전가능,DC콤보,4716,흥천면 행정복지센터,37.3331109650183,127.541572532165,2024-05-27 16:14:19
경기도 여주시 가남읍 심석리 417-6 가남읍 심석리 516-4,급속,11017,급속02,충전가능,DC콤보,4719,가남읍공영주차장,37.2016855578659,127.547992898371,2024-05-27 16:16:09
경기도 여주시 가남읍 심석리 417-6 가남읍 심석리 516-4,급속,11012,급속01,충전가능,DC콤보,4719,가남읍공영주차장,37.2016855578659,127.547992898371,2024-05-27 16:11:13
경상북도 경산시 사동 655-1 박물관내 주차장,급속,9999,급속01,충전가능,DC콤보,4013,경산 시립박물관 정문 고객 주차장,35.814260101382,128.762918819876,2024-05-27 16:16:01
경상남도 밀양시 부북면 춘화리 839 춘화농공단지 주차장 구석,급속,10696,급속01,충전가능,DC콤보,4497,춘화농공단지 주차장,35.531781155485,128.725283701549,2024-05-27 16:11:15
경상남도 밀양시 부북면 운전리 483 부북면 행정복지센터 입구,급속,10698,급속01,통신장애,DC콤보,4496,부북면 행정복지센터,35.5110704858444,128.729733808999,2024-05-26 14:51:01
경상남도 밀양시 부북면 운전리 483 부북면 행정복지센터 입구,급속,10699,급속02,충전가능,DC콤보,4496,부북면 행정복지센터,35.5110704858444,128.729733808999,2024-05-27 16:15:57
경상남도 밀양시 산외면 다죽리 123-2 문화센터 맞은편 주차장,급속,10694,급속02,충전가능,DC콤보,4492,산외면 문화센터,35.5015478815127,128.815259963492,2024-05-27 16:16:33
경상남도 밀양시 산외면 다죽리 217-3 산외면 행정복지센터 입구,급속,10695,급속01,충전가능,DC콤보,4495,산외면 행정복지센터,35.5024890231101,128.814944586076,2024-05-27 16:16:15
경상남도 밀양시 교동 산 26 소방서 맞은편 주차장 입구,급속,10682,급속01,충전가능,DC콤보,4487,밀양소방서,35.4998796127552,128.758719078871,2024-05-27 16:17:24
제주특별자치도 제주시 한경면 저지리 3135-1 주차장 들어가기전 오른쪽,급속,11028,급속02,충전가능,DC콤보,415,유리의성,33.313727315863595,126.27232344835204,2024-05-27 16:14:52
제주특별자치도 제주시 한경면 저지리 3135-1 주차장 들어가기전 오른쪽,급속,11029,급속03,충전가능,DC콤보,415,유리의성,33.313727315863595,126.27232344835204,2024-05-27 16:14:04
제주특별자치도 제주시 노형동 2515-2 웅전공영주차장,급속,11030,급속01,충전가능,DC콤보,4701,웅전공영주차장,33.4826195085267,126.47200193497231,2024-05-27 16:16:01
제주특별자치도 제주시 노형동 2515-2 웅전공영주차장,급속,11031,급속02,충전가능,DC콤보,4701,웅전공영주차장,33.4826195085267,126.47200193497231,2024-05-27 16:10:59
세종특별자치시 보람동 631-4 지상주차장,급속,10822,급속01,충전중,DC콤보,4575,보람동행정복지센터,36.47889999954788,127.29037661359689,2024-05-27 16:15:00
세종특별자치시 연기면 세종리 1201 세종호수공원 제1주차장,급속,10824,급속02,충전중,DC콤보,4577,세종호수공원제1주차장,36.4917873001309,127.26890706517173,2024-05-27 16:10:59
제주특별자치도 서귀포시 표선면 표선리 701 .,급속,11056,급속02,충전가능,DC콤보,4707,표선공영주차장,33.32635425121086,126.83175666442537,2024-05-27 16:15:58
제주특별자치도 서귀포시 표선면 표선리 701 .,급속,11057,급속03,충전가능,DC콤보,4707,표선공영주차장,33.32635425121086,126.83175666442537,2024-05-27 16:15:59
제주특별자치도 서귀포시 표선면 표선리 701 .,급속,11055,급속01,충전가능,DC콤보,4707,표선공영주차장,33.32635425121086,126.83175666442537,2024-05-27 16:16:07
제주특별자치도 서귀포시 남원읍 남원리 83-2 야외 주차장,급속,11058,급속01,충전가능,DC콤보,4756,남원공영주차장,33.2791728090598,126.721124685081,2024-05-27 16:11:01
충청남도 서천군 서면 마량리 339-6 주차장 중앙,급속,10275,급속01,충전가능,DC콤보,4164,동백꽃 관광지,36.13309097765775,126.50082097720242,2024-05-27 16:15:38
대전광역시 중구 문창동 122-8 공영주차장,급속,10284,급속01,충전가능,DC콤보,4205,문창시장 제2공영주차장,36.3154444601051,127.43611046421925,2024-05-27 16:15:55
서울특별시 서초구 반포동 730-2 지상주차장,급속,10079,급속01,충전가능,DC콤보,4056,반포동방음언덕형 공영주차장,37.5047906803861,127.018620264851,2024-05-27 16:15:48
서울특별시 서초구 양재동 399 지하1층 주차장,급속,10080,급속01,충전가능,DC콤보,4057,구룡공원 공영주차장,37.47155754633012,127.04867227941852,2024-05-27 16:16:02
경기도 동두천시 탑동동 799 옥외주차장,급속,10399,급속01,충전가능,DC콤보,4274,동두천국민체육센터,37.890472167952865,127.0902510741471,2024-05-27 16:15:47
경기도 동두천시 상봉암동 15 옥외주차장,급속,10404,급속01,충전가능,DC콤보,4273,소요별앤숲테마파크,37.949682,127.065519,2024-05-27 16:15:56
경기도 동두천시 탑동동 799 옥외주차장,급속,10400,급속02,통신장애,DC콤보,4274,동두천국민체육센터,37.890472167952865,127.0902510741471,2024-05-20 07:21:19
대구광역시 수성구 만촌동 1078 본관 주차장,급속,9991,급속02,충전가능,DC콤보,4007,수성대학교,35.8540077448573,128.646863701029,2024-05-27 16:11:14
대구광역시 수성구 만촌동 1078 본관 주차장,급속,9990,급속01,통신장애,DC콤보,4007,수성대학교,35.8540077448573,128.646863701029,2024-05-25 21:00:52
경상남도 함양군 함양읍 죽곡리 255-1 주차장,급속,10465,급속01,충전가능,DC콤보,4297,상림제2주차장,35.529259117964,127.71183641915,2024-05-27 16:16:12
경상남도 함양군 함양읍 용평리 118 관리사무소 앞,급속,10461,급속01,충전가능,DC콤보,4295,하림공원,35.511706424725,127.741304919348,2024-05-27 16:16:23
경상남도 함양군 함양읍 교산리 1069-4 주차장,급속,10469,급속01,충전가능,DC콤보,4299,상림공원,35.5240385590465,127.721479120355,2024-05-27 16:16:17
경상남도 함양군 마천면 강청리 194 주차장,급속,10463,급속01,충전가능,DC콤보,4296,백무동계곡 주차장,35.3630521478236,127.679903056235,2024-05-27 16:16:17
충청남도 홍성군 장곡면 도산리 489-1 장곡면 행정복지센터 주차장,급속,10286,급속01,충전가능,DC콤보,4232,장곡면 행정복지센터,36.50494928019015,126.69132290521418,2024-05-27 16:15:47
충청남도 홍성군 광천읍 광천리 200-16 제 3공영주차장,급속,10287,급속01,충전가능,DC콤보,4233,광천전통시장,36.5011218425796,126.624803202479,2024-05-27 16:16:00
충청남도 청양군 목면 안심리 585-7 목면사무소 주차장 안쪽,급속,10519,급속01,충전가능,DC콤보,4360,한국전력 전기차충전소 목면사무소,36.418877346113426,127.00418132610673,2024-05-27 16:15:45
경상남도 거제시 장승포동 713 장승포동 715 장승포동 공설시민무료,급속,10485,급속01,충전가능,DC콤보,4306,장승포동 공설시민무료주차장,34.8668426152853,128.729636039686,2024-05-27 16:15:46
경상남도 거제시 고현동 104-2 경상남도 거제시 거제중앙로17길 6,급속,10484,급속01,충전가능,DC콤보,4304,거제고현시장 공영주차장(전통시장),34.8852924735606,128.624058391473,2024-05-27 16:16:11
광주광역시 남구 덕남동 113 (실내지하)주차장 3층 21,급속,10623,급속02,충전가능,DC콤보,4443,빛고을 전남대병원,35.0941932831541,126.896198489743,2024-05-27 16:10:58
광주광역시 남구 덕남동 113 (실내지하)주차장 3층 21,급속,10622,급속01,충전가능,DC콤보,4443,빛고을 전남대병원,35.0941932831541,126.896198489743,2024-05-27 16:16:03
경상남도 창원시 의창구 대원동 93-1 대원민원센터 주차장,급속,10671,급속01,통신장애,DC콤보,4481,대원민원센터,35.232376093556915,128.65051169488038,2024-05-26 02:36:02
경상남도 진주시 칠암동 500-15 문화예술회관 주차장,급속,10672,급속01,충전가능,DC콤보,4482,경남문화예술회관 주차장,35.18598180478224,128.09341193853294,2024-05-27 16:16:30
경상남도 밀양시 산외면 다죽리 123-2 문화센터 맞은편 주차장,급속,10690,급속01,충전가능,DC콤보,4492,산외면 문화센터,35.5015478815127,128.815259963492,2024-05-27 16:16:21
경기도 남양주시 화도읍 마석우리 548 옥외주차장,급속,10280,급속01,충전가능,DC콤보,4106,화도수동행정복지센터,37.39262,127.18035,2024-05-27 16:15:57
경기도 양평군 양서면 대심리 204-13 양평만남의광장 지상주차장,급속,10715,급속03,충전가능,DC콤보,4395,양평만남의광장 전기차충전소,37.5083614813208,127.393406200352,2024-05-27 16:15:58
경상북도 의성군 금성면 대리리 30-55 금성공영주차장 도로 측 위치,급속,10665,급속01,충전가능,DC콤보,4475,금성공영주차장,36.25277438446482,128.68263454160996,2024-05-27 16:16:25
경상북도 상주시 사벌국면 덕담리 372-1 사벌문화복지센터,급속,10663,급속01,충전가능,DC콤보,4473,사벌문화복지센터,36.46782198,128.21123922,2024-05-27 16:16:52
충청남도 천안시 동남구 원성동 470-5 농어촌공사 지상주차장,급속,10728,급속01,충전중,DC콤보,4447,한국농어촌공사 천안,36.8082751063147,127.158943227706,2024-05-27 16:15:00
충청남도 천안시 서북구 성환읍 매주리 393-10 북부스포츠센터 지상주차장,급속,10732,급속03,충전가능,DC콤보,4448,북부스포츠센터,36.8996860917972,127.132194991592,2024-05-27 16:11:29
경기도 김포시 마산동 642-1 주차장,급속,10678,급속02,충전가능,DC콤보,4467,솔터체육공원,37.64045337703,126.649224477286,2024-05-27 16:15:53
경기도 김포시 마산동 642-1 주차장,급속,10677,급속01,충전가능,DC콤보,4467,솔터체육공원,37.64045337703,126.649224477286,2024-05-27 16:15:52
경기도 김포시 마산동 642-1 주차장,급속,10679,급속03,충전가능,DC콤보,4467,솔터체육공원,37.64045337703,126.649224477286,2024-05-27 16:15:57
충청남도 논산시 화지동 41-119 주차장,급속,10778,급속02,고장/점검,DC콤보,4538,화지시장,36.20836,127.08648,2024-05-27 11:18:11
충청남도 논산시 내동 279-4 주차장,급속,10776,급속02,충전가능,DC콤보,4537,논산시 문화예술회관,36.19074,127.09470,2024-05-27 16:16:16
부산광역시 기장군 기장읍 당사리 524 지하1층 G11구역,급속,10809,급속03,충전가능,DC콤보,4569,롯데몰 동부산점,35.191914411552645,129.21294377572724,2024-05-27 16:15:00
부산광역시 기장군 기장읍 당사리 524 지하1층 G11구역,급속,10808,급속02,충전가능,DC콤보,4569,롯데몰 동부산점,35.191914411552645,129.21294377572724,2024-05-27 16:15:53
